propertyTaxRate,garageSpaces,hasAssociation,hasGarage,hasSpa,hasView,latestPrice,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,avgSchoolDistance,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,days_since_sale,log_lotSizeSqFt,log_livingAreaSqFt,log_avgSchoolSize,yearsOld_sq,avgSchoolRating_sq,word_count_good,word_count_bad,hood_ALLANDALE,hood_BARTON HILLS,hood_BOULDIN CREEK,hood_BRENTWOOD,hood_CENTRAL EAST AUSTIN,hood_CHESTNUT,hood_CORONADO HILLS,hood_CRESTVIEW,hood_DAWSON,hood_EAST CESAR CHAVEZ,hood_EAST CONGRESS,hood_EAST OAK HILL,hood_FRANKLIN PARK,hood_GALINDO,hood_GARRISON PARK,hood_GEORGIAN ACRES,hood_GOVALLE,hood_HANCOCK,hood_HERITAGE HILLS,hood_HIGHLAND,hood_HOLLY,hood_HYDE PARK,hood_JOHNSTON TERRACE,hood_MCKINNEY,hood_MLK,hood_MLK-183,hood_MONTOPOLIS,hood_NORTH AUSTIN CIVIC ASSOCIATION,hood_NORTH LAMAR,hood_NORTH LOOP,hood_NORTH SHOAL CREEK,hood_NORTH UNIVERSITY,hood_OLD ENFIELD,hood_OLD WEST AUSTIN,hood_PARKER LANE,hood_PECAN SPRINGS-SPRINGDALE,hood_PLEASANT VALLEY,hood_RIVERSIDE,hood_RMMA,hood_ROSEDALE,hood_ROSEWOOD,hood_SOUTH LAMAR,hood_SOUTH MANCHACA,hood_SOUTH RIVER CITY,hood_SOUTHEAST,hood_ST. EDWARDS,hood_ST. JOHN,hood_SWEETBRIAR,hood_UNIVERSITY HILLS,hood_UPPER BOGGY CREEK,hood_WEST AUSTIN NEIGHBORHOOD GROUP,hood_WEST CONGRESS,hood_WEST OAK HILL,hood_WEST UNIVERSITY,hood_WESTGATE,hood_WINDSOR HILLS,hood_WINDSOR PARK,hood_WINDSOR ROAD,hood_WOOTEN,hood_ZILKER
1.98,0,True,False,False,False,275.0,40,0,4,1,0,0,0,1,0,2.9,12,2.0,3,1,907,8.61050136854989,7.27931883541462,7.33498187887181,36,13.4444444444445,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,199.999,18,0,3,1,1,0,0,0,0,1.73333333333333,13,2.0,3,1,1078,8.56178407474411,7.19743535409659,7.2848209125686,625,9.0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,4,True,True,False,False,435.0,65,0,2,2,2,0,0,2,0,1.2,15,3.0,4,2,742,9.10208678653593,8.04366335239394,7.15148546390474,1089,64.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,285.0,1,0,4,1,0,0,0,0,0,2.9,12,3.0,3,2,1323,8.6417090661138,7.58781721999343,7.33498187887181,36,13.4444444444445,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,209.9,23,0,7,2,0,0,0,1,0,1.66666666666667,13,2.0,3,1,885,8.62317351495347,7.25841215059531,7.2848209125686,1225,9.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,375.0,78,0,2,2,1,0,0,0,0,2.9,12,5.0,7,2,704,8.84937050375457,7.89469085042562,7.33498187887181,36,13.4444444444445,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,False,229.9,32,0,2,2,1,1,0,0,0,3.2,13,3.0,4,2,767,8.42814337458273,7.568895663407,7.2848209125686,64,9.0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,2,True,True,False,True,549.9,38,0,3,2,0,0,0,0,0,2.13333333333333,16,4.0,4,2,1442,9.22088458585185,8.24143968982973,7.15305163493748,441,49.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,690.0,36,0,5,1,0,0,0,0,0,2.93333333333333,17,3.0,4,2,1294,9.24647941859206,7.99564360428727,7.32909373624659,1521,49.0,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.98,0,True,False,False,False,325.0,22,0,4,1,0,0,0,0,0,2.9,12,3.0,4,2,1423,8.73004395324502,7.63482067774554,7.33498187887181,36,13.4444444444445,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
